sample,fasta
A-H1309-4-1_S7_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H1309-4-1_S7_contigs.fasta
A-H1309-4-3_S10_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H1309-4-3_S10_contigs.fasta
A-H-1309-4-4_S6_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H-1309-4-4_S6_contigs.fasta
A-H-1309-5-2_S7_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H-1309-5-2_S7_contigs.fasta
A-H1309-5II_S9_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-H1309-5II_S9_contigs.fasta
A-Hdes-10_S9_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-Hdes-10_S9_contigs.fasta
A-Hdes-11_S10_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-Hdes-11_S10_contigs.fasta
A-Hdes-12_S11_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-Hdes-12_S11_contigs.fasta
A-Hdes-19_S12_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-Hdes-19_S12_contigs.fasta
A-Hdes-20-1_S13_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-Hdes-20-1_S13_contigs.fasta
A-Hdes-3_S8_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/A-Hdes-3_S8_contigs.fasta
Alcanivorax_borkumensis_SK2_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alcanivorax_borkumensis_SK2_genomic.fasta
Alcanivorax_dieselolei_B5_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alcanivorax_dieselolei_B5_genomic.fasta
Alcanivorax_sp_W11-5_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alcanivorax_sp_W11-5_genomic.fasta
Algibacter_sp_HZ22_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Algibacter_sp_HZ22_genomic.fasta
Aliivibrio_salmonicida_LFI1238_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aliivibrio_salmonicida_LFI1238_genomic.fasta
Aliivibrio_wodanis_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Aliivibrio_wodanis_genomic.fasta
alpha_proteobacterium_HIMB59_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/alpha_proteobacterium_HIMB59_genomic.fasta
alpha_proteobacterium_HIMB5_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/alpha_proteobacterium_HIMB5_genomic.fasta
Altererythrobacter_atlanticus_strain_26DY36_genomi,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Altererythrobacter_atlanticus_strain_26DY36_genomic.fasta
Altererythrobacter_dongtanensis_strain_KCTC_22672_,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Altererythrobacter_dongtanensis_strain_KCTC_22672_genomic.fasta
Altererythrobacter_epoxidivorans_CGMCC_17731_genom,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Altererythrobacter_epoxidivorans_CGMCC_17731_genomic.fasta
Altererythrobacter_ishigakiensis_strain_NBRC_10769,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Altererythrobacter_ishigakiensis_strain_NBRC_107699_genomic.fasta
Altererythrobacter_marensis_strain_KCTC_22370_geno,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Altererythrobacter_marensis_strain_KCTC_22370_genomic.fasta
Altererythrobacter_namhicola_strain_JCM_16345_geno,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Altererythrobacter_namhicola_strain_JCM_16345_genomic.fasta
Alteromonas_australica_DE170_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_australica_DE170_genomic.fasta
Alteromonas_australica_H_17_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_australica_H_17_genomic.fasta
Alteromonas_macleodii_AltDE1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_AltDE1_genomic.fasta
Alteromonas_macleodii_ATCC_27126_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_ATCC_27126_genomic.fasta
Alteromonas_macleodii_str_Aegean_Sea_MED64_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Aegean_Sea_MED64_genomic.fasta
Alteromonas_macleodii_str_Balearic_Sea_AD45_genomi,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic.fasta
Alteromonas_macleodii_str_Black_Sea_11_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Black_Sea_11_genomic.fasta
Alteromonas_macleodii_str_Deep_ecotype_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Deep_ecotype_genomic.fasta
Alteromonas_macleodii_str_English_Channel_615_geno,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_English_Channel_615_genomic.fasta
Alteromonas_macleodii_str_English_Channel_673_geno,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_English_Channel_673_genomic.fasta
Alteromonas_macleodii_str_Ionian_Sea_U4_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Ionian_Sea_U4_genomic.fasta
Alteromonas_macleodii_str_Ionian_Sea_U7_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Ionian_Sea_U7_genomic.fasta
Alteromonas_macleodii_str_Ionian_Sea_U8_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Ionian_Sea_U8_genomic.fasta
Alteromonas_macleodii_str_Ionian_Sea_UM4b_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Ionian_Sea_UM4b_genomic.fasta
Alteromonas_macleodii_str_Ionian_Sea_UM7_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_macleodii_str_Ionian_Sea_UM7_genomic.fasta
Alteromonas_mediterranea_strain_AR43_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_mediterranea_strain_AR43_genomic.fasta
Alteromonas_mediterranea_strain_CP48_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_mediterranea_strain_CP48_genomic.fasta
Alteromonas_mediterranea_strain_CP49_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_mediterranea_strain_CP49_genomic.fasta
Alteromonas_mediterranea_strain_RG65_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_mediterranea_strain_RG65_genomic.fasta
Alteromonas_sp_Mex14_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_sp_Mex14_genomic.fasta
Alteromonas_sp_RW2A1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_sp_RW2A1_genomic.fasta
Alteromonas_sp_SN2_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_sp_SN2_genomic.fasta
Alteromonas_stellipolaris_LMG_21856_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_stellipolaris_LMG_21856_genomic.fasta
Alteromonas_stellipolaris_strain_PQQ-42_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_stellipolaris_strain_PQQ-42_genomic.fasta
Alteromonas_stellipolaris_strain_PQQ-44_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Alteromonas_stellipolaris_strain_PQQ-44_genomic.fasta
Arcanobacterium_phocae_strain_DSM_10002_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Arcanobacterium_phocae_strain_DSM_10002_genomic.fasta
Archaeoglobus_fulgidus_DSM_4304_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Archaeoglobus_fulgidus_DSM_4304_genomic.fasta
Archaeoglobus_fulgidus_DSM_8774_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Archaeoglobus_fulgidus_DSM_8774_genomic.fasta
Archaeoglobus_profundus_DSM_5631_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Archaeoglobus_profundus_DSM_5631_genomic.fasta
Archaeoglobus_veneficus_SNP6_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Archaeoglobus_veneficus_SNP6_genomic.fasta
Arthrobacter_sp_PAMC25486_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Arthrobacter_sp_PAMC25486_genomic.fasta
AW02J18_S11_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/AW02J18_S11_contigs.fasta
AW19M33_S12_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/AW19M33_S12_contigs.fasta
B9-25K2_S3_contigs,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/B9-25K2_S3_contigs.fasta
Bacillus_infantis_NRRL_B-14911_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bacillus_infantis_NRRL_B-14911_genomic.fasta
Bacillus_safensis_strain_KCTC_12796BP_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bacillus_safensis_strain_KCTC_12796BP_genomic.fasta
Bacillus_sp_Alg07_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bacillus_sp_Alg07_genomic.fasta
Bacillus_sp_Pc3_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bacillus_sp_Pc3_genomic.fasta
Bacillus_velezensis_strain_9912D_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bacillus_velezensis_strain_9912D_genomic.fasta
Bacteriovorax_marinus_SJ_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bacteriovorax_marinus_SJ_genomic.fasta
bacterium_AB1_strain_AB1-8_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/bacterium_AB1_strain_AB1-8_genomic.fasta
Bdellovibrio_bacteriovorus_strain_109J_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Bdellovibrio_bacteriovorus_strain_109J_genomic.fasta
Belliella_baltica_DSM_15883_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Belliella_baltica_DSM_15883_genomic.fasta
Brucella_ceti_TE10759-12_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Brucella_ceti_TE10759-12_genomic.fasta
Brucella_ceti_TE28753-12_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Brucella_ceti_TE28753-12_genomic.fasta
Brucella_pinnipedialis_B2_94_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Brucella_pinnipedialis_B2_94_genomic.fasta
Brucella_sp_141012304_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Brucella_sp_141012304_genomic.fasta
Caldithrix_abyssi_DSM_13497_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Caldithrix_abyssi_DSM_13497_genomic.fasta
Campylobacter_lari_strain_Slaughter_Beach_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Campylobacter_lari_strain_Slaughter_Beach_genomic.fasta
Campylobacter_peloridis_LMG_23910_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Campylobacter_peloridis_LMG_23910_genomic.fasta
Candidatus_Aquiluna_sp_UB-MaderosW2red_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Aquiluna_sp_UB-MaderosW2red_genomic.fasta
Candidatus_Atelocyanobacterium_thalassa_isolate_AL,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_genomic.fasta
Candidatus_Endolissoclinum_faulkneri_L5_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Endolissoclinum_faulkneri_L5_genomic.fasta
Candidatus_Endolissoclinum_patella_L2_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Endolissoclinum_patella_L2_genomic.fasta
Candidatus_Gloeomargarita_lithophora_D10_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Gloeomargarita_lithophora_D10_genomic.fasta
Candidatus_Nitrosoarchaeum_limnia_SFB1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Nitrosoarchaeum_limnia_SFB1_genomic.fasta
Candidatus_Nitrosopelagicus_brevis_CN25_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Nitrosopelagicus_brevis_CN25_genomic.fasta
Candidatus_Nitrosopumilus_koreensis_AR1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Nitrosopumilus_koreensis_AR1_genomic.fasta
Candidatus_Nitrosopumilus_sp_AR2_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Nitrosopumilus_sp_AR2_genomic.fasta
Candidatus_Nitrosopumilus_sp_D3C_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Nitrosopumilus_sp_D3C_genomic.fasta
Candidatus_Nitrosopumilus_sp_NF5_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Nitrosopumilus_sp_NF5_genomic.fasta
Candidatus_Pelagibacter_sp_IMCC9063_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Pelagibacter_sp_IMCC9063_genomic.fasta
Candidatus_Pelagibacter_ubique_HTCC1062_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Pelagibacter_ubique_HTCC1062_genomic.fasta
Candidatus_Puniceispirillum_marinum_IMCC1322_genom,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Puniceispirillum_marinum_IMCC1322_genomic.fasta
Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_mag,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_magnifica_genomic.fasta
Candidatus_Thioglobus_singularis_PS1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Thioglobus_singularis_PS1_genomic.fasta
Candidatus_Thioglobus_singularis_strain_GG2_genomi,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Thioglobus_singularis_strain_GG2_genomic.fasta
Candidatus_Thioglobus_sp_EF1_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Thioglobus_sp_EF1_genomic.fasta
Candidatus_Vesicomyosocius_okutanii_HA_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Candidatus_Vesicomyosocius_okutanii_HA_genomic.fasta
Carnobacterium_sp_17-4_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Carnobacterium_sp_17-4_genomic.fasta
Celeribacter_indicus_P73_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Celeribacter_indicus_P73_genomic.fasta
Celeribacter_marinus_strain_IMCC12053_genomic,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/cami/marine/simulation_short_read/genomes/Celeribacter_marinus_strain_IMCC12053_genomic.fasta
